run_label,target,params_short,params_json,status
grid_001,top10,average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-0.6,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.6}",cache_hit
grid_002,top10,average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-0.6,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 0.6}",cache_hit
grid_003,top10,average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-0.6,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.6}",cache_hit
grid_004,top10,average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-0.6,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 0.6}",cache_hit
grid_005,top10,average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-0.8,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",cache_hit
grid_006,top10,average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-0.8,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",cache_hit
grid_007,top10,average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-0.8,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",cache_hit
grid_008,top10,average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-0.8,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 0.8}",cache_hit
grid_009,top10,average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-1.0,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.0}",cache_hit
grid_010,top10,average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-1.0,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.0}",cache_hit
grid_011,top10,average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-1.0,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.0}",cache_hit
grid_012,top10,average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-1.0,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.0}",cache_hit
grid_013,top10,average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-1.2,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.2}",cache_hit
grid_014,top10,average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-1.2,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.2}",cache_hit
grid_015,top10,average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-1.2,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.2}",cache_hit
grid_016,top10,average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-1.2,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.2}",cache_hit
