variant_name,scope,evaluation_name,target,threshold,threshold_source,actual_label,predicted_label,count
standard,overall,top5_native_0_5,top5,0.5,native_0_5,0,0,15189
standard,overall,top5_native_0_5,top5,0.5,native_0_5,0,1,2057
standard,overall,top5_native_0_5,top5,0.5,native_0_5,1,0,261
standard,overall,top5_native_0_5,top5,0.5,native_0_5,1,1,295
standard,overall,top10_native_0_5,top10,0.5,native_0_5,0,0,14357
standard,overall,top10_native_0_5,top10,0.5,native_0_5,0,1,2341
standard,overall,top10_native_0_5,top10,0.5,native_0_5,1,0,527
standard,overall,top10_native_0_5,top10,0.5,native_0_5,1,1,577
standard,overall,top20_native_0_5,top20,0.5,native_0_5,0,0,13032
standard,overall,top20_native_0_5,top20,0.5,native_0_5,0,1,2565
standard,overall,top20_native_0_5,top20,0.5,native_0_5,1,0,1081
standard,overall,top20_native_0_5,top20,0.5,native_0_5,1,1,1124
standard,overall,frank_hall_top10_native_0_5,top10,0.5,native_0_5,0,0,7945
standard,overall,frank_hall_top10_native_0_5,top10,0.5,native_0_5,0,1,8753
standard,overall,frank_hall_top10_native_0_5,top10,0.5,native_0_5,1,0,146
standard,overall,frank_hall_top10_native_0_5,top10,0.5,native_0_5,1,1,958
standard,overall,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,0,0,15808
standard,overall,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,0,1,890
standard,overall,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,1,0,762
standard,overall,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,1,1,342
standard,year_2024,top5_native_0_5,top5,0.5,native_0_5,0,0,7652
standard,year_2024,top5_native_0_5,top5,0.5,native_0_5,0,1,997
standard,year_2024,top5_native_0_5,top5,0.5,native_0_5,1,0,135
standard,year_2024,top5_native_0_5,top5,0.5,native_0_5,1,1,149
standard,year_2024,top10_native_0_5,top10,0.5,native_0_5,0,0,7233
standard,year_2024,top10_native_0_5,top10,0.5,native_0_5,0,1,1133
standard,year_2024,top10_native_0_5,top10,0.5,native_0_5,1,0,281
standard,year_2024,top10_native_0_5,top10,0.5,native_0_5,1,1,286
standard,year_2024,top20_native_0_5,top20,0.5,native_0_5,0,0,6537
standard,year_2024,top20_native_0_5,top20,0.5,native_0_5,0,1,1261
standard,year_2024,top20_native_0_5,top20,0.5,native_0_5,1,0,554
standard,year_2024,top20_native_0_5,top20,0.5,native_0_5,1,1,581
standard,year_2024,frank_hall_top10_native_0_5,top10,0.5,native_0_5,0,0,4096
standard,year_2024,frank_hall_top10_native_0_5,top10,0.5,native_0_5,0,1,4270
standard,year_2024,frank_hall_top10_native_0_5,top10,0.5,native_0_5,1,0,84
standard,year_2024,frank_hall_top10_native_0_5,top10,0.5,native_0_5,1,1,483
standard,year_2024,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,0,0,7897
standard,year_2024,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,0,1,469
standard,year_2024,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,1,0,377
standard,year_2024,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,1,1,190
standard,year_2025,top5_native_0_5,top5,0.5,native_0_5,0,0,7537
standard,year_2025,top5_native_0_5,top5,0.5,native_0_5,0,1,1060
standard,year_2025,top5_native_0_5,top5,0.5,native_0_5,1,0,126
standard,year_2025,top5_native_0_5,top5,0.5,native_0_5,1,1,146
standard,year_2025,top10_native_0_5,top10,0.5,native_0_5,0,0,7124
standard,year_2025,top10_native_0_5,top10,0.5,native_0_5,0,1,1208
standard,year_2025,top10_native_0_5,top10,0.5,native_0_5,1,0,246
standard,year_2025,top10_native_0_5,top10,0.5,native_0_5,1,1,291
standard,year_2025,top20_native_0_5,top20,0.5,native_0_5,0,0,6495
standard,year_2025,top20_native_0_5,top20,0.5,native_0_5,0,1,1304
standard,year_2025,top20_native_0_5,top20,0.5,native_0_5,1,0,527
standard,year_2025,top20_native_0_5,top20,0.5,native_0_5,1,1,543
standard,year_2025,frank_hall_top10_native_0_5,top10,0.5,native_0_5,0,0,3849
standard,year_2025,frank_hall_top10_native_0_5,top10,0.5,native_0_5,0,1,4483
standard,year_2025,frank_hall_top10_native_0_5,top10,0.5,native_0_5,1,0,62
standard,year_2025,frank_hall_top10_native_0_5,top10,0.5,native_0_5,1,1,475
standard,year_2025,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,0,0,7911
standard,year_2025,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,0,1,421
standard,year_2025,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,1,0,385
standard,year_2025,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,1,1,152
thinking_medium_roc_auc,overall,top5_native_0_5,top5,0.5,native_0_5,0,0,15134
thinking_medium_roc_auc,overall,top5_native_0_5,top5,0.5,native_0_5,0,1,2112
thinking_medium_roc_auc,overall,top5_native_0_5,top5,0.5,native_0_5,1,0,259
thinking_medium_roc_auc,overall,top5_native_0_5,top5,0.5,native_0_5,1,1,297
thinking_medium_roc_auc,overall,top10_native_0_5,top10,0.5,native_0_5,0,0,14302
thinking_medium_roc_auc,overall,top10_native_0_5,top10,0.5,native_0_5,0,1,2396
thinking_medium_roc_auc,overall,top10_native_0_5,top10,0.5,native_0_5,1,0,535
